Quarter,Oced_D_Canada,Oced_D_Europe,Oced_D_Japan,Oced_D_Other OECD,Oced_D_U.S. (50 States),Oced_D_U.S. Territories,Oced_D_Total OECD,Oced_D_As % of World Demand,NOced_D_China,NOced_D_Europe,NOced_D_Former Soviet Union,NOced_D_Other Asia,NOced_D_Other Non-OECD,NOced_D_Total Non-OECD,NOced_D_As % of World Demand,Total World Demand,Oced_S_Canada,Oced_S_Mexico,Oced_S_North Sea,Oced_S_Other OECD,Oced_S_U.S. (50 States),Oced_S_Total OECD,Oced_S_As % of World Supply,NOced_S_China,NOced_S_Former Soviet Union,NOced_S_Other Non-OECD,NOced_S_Total OPEC Supply,NOced_S_Total Non-OECD,NOced_S_As % of World Supply,Total World Supply,OPEC Crude Oil Portion,OPEC Non-Crude Liquids,Total OPEC,OPEC_As % of World Supply,OECD Total Demand,OECD Total Supply,OECD Net deficit / surplus,U.S. (50 States) Total Demand,U.S. (50 States) Total Supply,U.S. (50 States) Net deficit / surplus,Former Soviet Union Total Demand,Former Soviet Union Total Supply,Former Soviet Union Net deficit / surplus,China Total Demand,China Total Supply,China Net deficit / surplus
2000 Q4,2.11,15.53,5.61,5.18,19.98,0.32,48.74,62.65,4.83,0.7,3.88,7.41,12.24,29.06,37.35,77.8,2.81,3.39,6.27,1.77,8.96,23.2,29.31,3.34,8.53,10.49,33.6,55.95,70.69,79.15,30.3,3.3,33.6,42.45,48.74,23.2,-25.54,19.98,8.96,-11.02,3.88,8.53,4.64,4.83,3.34,-1.49
2000 Q3,2.06,15.3,5.39,5,20.03,0.27,48.05,62.21,5.07,0.65,3.82,7.29,12.34,29.18,37.78,77.23,2.75,3.52,6,1.78,9.02,23.07,29.34,3.36,8.25,10.41,33.53,55.56,70.66,78.63,30.25,3.28,33.53,42.65,48.05,23.07,-24.98,20.03,9.02,-11.01,3.82,8.25,4.43,5.07,3.36,-1.71
2000 Q2,1.99,14.75,4.99,5.13,19.49,0.24,46.59,62.17,4.54,0.7,3.55,7.35,12.2,28.35,37.82,74.94,2.72,3.49,6,1.79,9.13,23.13,29.95,3.41,8.03,10.09,32.58,54.11,70.06,77.23,29.35,3.23,32.58,42.18,46.59,23.13,-23.46,19.49,9.13,-10.36,3.55,8.03,4.48,4.54,3.41,-1.13
2000 Q1,1.99,15.29,6.07,5.39,19.29,0.32,48.34,62.86,4.74,0.75,3.63,7.29,12.15,28.55,37.13,76.9,2.72,3.44,6.45,1.81,9.13,23.55,30.98,3.4,7.95,9.93,31.19,52.47,69.02,76.02,28,3.19,31.19,41.02,48.34,23.55,-24.79,19.29,9.13,-10.16,3.63,7.95,4.32,4.74,3.4,-1.34
1999 Q4,2.04,15.9,5.93,5.24,19.82,0.29,49.23,63.37,4.52,0.67,3.95,7.29,12.03,28.46,36.63,77.69,2.72,3.23,6.67,1.67,9.26,23.55,31.37,3.33,7.77,10.09,30.34,51.53,68.63,75.08,27.25,3.09,30.34,40.41,49.23,23.55,-25.68,19.82,9.26,-10.56,3.95,7.77,3.82,4.52,3.33,-1.19
1999 Q3,2.1,14.94,5.32,4.88,19.8,0.26,47.3,62.88,4.2,0.62,3.88,7.13,12.1,27.93,37.12,75.23,2.63,3.31,6.22,1.59,8.96,22.73,30.44,3.3,7.73,10.09,30.81,51.93,69.56,74.66,27.73,3.07,30.81,41.26,47.3,22.73,-24.58,19.8,8.96,-10.84,3.88,7.73,3.85,4.2,3.3,-0.9
1999 Q2,1.99,14.62,5.11,4.81,19.24,0.28,46.04,62.5,4.49,0.66,3.39,7.17,11.91,27.62,37.5,73.66,2.59,3.33,6.03,1.56,8.89,22.4,30.35,3.3,7.59,10.05,30.46,51.41,69.65,73.81,27.41,3.06,30.46,41.27,46.04,22.4,-23.64,19.24,8.89,-10.34,3.39,7.59,4.2,4.49,3.3,-1.19
1999 Q1,2.02,16.03,6.18,5.27,19.21,0.26,48.96,64.1,4.25,0.72,3.61,7.04,11.81,27.43,35.91,76.38,2.59,3.55,6.3,1.59,8.85,22.88,30.17,3.34,7.51,10.14,31.96,52.95,69.83,75.83,28.85,3.11,31.96,42.15,48.96,22.88,-26.08,19.21,8.85,-10.36,3.61,7.51,3.9,4.25,3.34,-0.91
1998 Q4,2.02,16.03,5.7,5.1,19.09,0.3,48.24,63.47,4.45,0.71,3.86,6.91,11.83,27.76,36.53,76.01,2.75,3.45,6.27,1.54,9.13,23.14,30.77,3.3,7.31,9.88,31.57,52.08,69.23,75.22,28.58,3,31.57,41.97,48.24,23.14,-25.1,19.09,9.13,-9.96,3.86,7.31,3.45,4.45,3.3,-1.15
1998 Q3,1.97,15.35,5.24,4.67,19.24,0.24,46.71,63.49,3.98,0.66,3.63,6.68,11.92,26.86,36.51,73.57,2.76,3.46,5.86,1.74,9.01,22.82,30.54,3.3,7.24,9.76,31.59,51.89,69.46,74.71,28.59,3,31.59,42.29,46.71,22.82,-23.89,19.24,9.01,-10.23,3.63,7.24,3.61,3.98,3.3,-0.68
1998 Q2,1.86,14.86,4.97,4.69,18.87,0.24,45.49,62.74,4.09,0.7,3.74,6.77,11.72,27.02,37.27,72.51,2.63,3.55,6.16,1.75,9.44,23.52,30.93,3.3,7.17,9.75,32.3,52.53,69.07,76.05,29.27,3.03,32.3,42.48,45.49,23.52,-21.97,18.87,9.44,-9.43,3.74,7.17,3.43,4.09,3.3,-0.79
1998 Q1,1.95,15.55,6.17,4.92,18.45,0.27,47.32,63.82,3.91,0.76,3.99,6.62,11.56,26.83,36.19,74.15,2.67,3.55,6.4,1.69,9.54,23.85,31.11,3.29,7.3,9.71,32.52,52.82,68.89,76.67,29.46,3.06,32.52,42.41,47.32,23.85,-23.47,18.45,9.54,-8.91,3.99,7.3,3.31,3.91,3.29,-0.62
1997 Q4,1.98,15.54,5.87,5.42,18.97,0.27,48.05,63.85,4.21,0.72,3.93,6.74,11.6,27.2,36.15,75.25,2.73,3.5,6.42,1.74,9.51,23.91,31.82,3.23,7.26,9.44,31.28,51.22,68.17,75.13,28.35,2.93,31.28,41.64,48.05,23.91,-24.14,18.97,9.51,-9.45,3.93,7.26,3.33,4.21,3.23,-0.98
1997 Q3,2.04,15.13,5.43,4.88,18.75,0.26,46.48,63.74,3.89,0.66,3.74,6.56,11.59,26.44,36.26,72.93,2.62,3.47,5.96,1.75,9.47,23.29,31.41,3.27,7.27,9.31,31,50.87,68.6,74.15,28.07,2.93,31,41.81,46.48,23.29,-23.2,18.75,9.47,-9.27,3.74,7.27,3.53,3.89,3.27,-0.62
1997 Q2,1.91,14.93,5.18,4.8,18.49,0.24,45.55,63.23,3.83,0.71,3.82,6.71,11.42,26.49,36.77,72.05,2.5,3.36,6.02,1.74,9.46,23.08,31.34,3.32,7.23,9.42,30.59,50.56,68.66,73.64,27.67,2.93,30.59,41.54,45.55,23.08,-22.47,18.49,9.46,-9.03,3.82,7.23,3.41,3.83,3.32,-0.51
1997 Q1,1.91,14.97,6.38,5.23,18.27,0.27,47.04,63.99,3.74,0.77,4.09,6.65,11.22,26.47,36.01,73.51,2.66,3.35,6.41,1.72,9.39,23.52,31.91,3.3,7.06,9.38,30.44,50.19,68.09,73.71,27.53,2.91,30.44,41.3,47.04,23.52,-23.51,18.27,9.39,-8.88,4.09,7.06,2.97,3.74,3.3,-0.44
1996 Q4,1.92,15.36,5.99,5.09,18.68,0.25,47.29,64.5,3.71,0.69,4.07,6.51,11.05,26.03,35.5,73.32,2.6,3.26,6.44,1.68,9.59,23.57,32.3,3.23,7.03,9.25,29.86,49.39,67.7,72.96,27.04,2.82,29.86,40.93,47.29,23.57,-23.72,18.68,9.59,-9.09,4.07,7.03,2.96,3.71,3.23,-0.48
1996 Q3,1.88,15.1,5.36,4.51,18.17,0.24,45.26,63.94,3.65,0.64,3.87,6.2,11.16,25.52,36.06,70.78,2.52,3.24,6.09,1.68,9.4,22.93,31.97,3.22,7.01,9.05,29.52,48.8,68.03,71.73,26.65,2.87,29.52,41.15,45.26,22.93,-22.32,18.17,9.4,-8.78,3.87,7.01,3.14,3.65,3.22,-0.43
1996 Q2,1.81,14.31,5.21,4.6,17.99,0.26,44.18,63.52,3.53,0.69,3.95,6.3,10.9,25.37,36.48,69.55,2.46,3.37,6.08,1.7,9.39,22.99,32.15,3.22,7.03,9,29.29,48.54,67.87,71.52,26.43,2.86,29.29,40.95,44.18,22.99,-21.19,17.99,9.39,-8.6,3.95,7.03,3.08,3.53,3.22,-0.31
1996 Q1,1.88,15.24,6.43,5.17,18.39,0.27,47.38,64.85,3.56,0.74,4.23,6.38,10.77,25.68,35.15,73.06,2.42,3.31,6.22,1.64,9.39,22.99,32.18,3.17,7.06,8.9,29.32,48.45,67.82,71.45,26.46,2.87,29.32,41.04,47.38,22.99,-24.39,18.39,9.39,-9,4.23,7.06,2.83,3.56,3.17,-0.39
1995 Q4,1.89,15.16,5.96,5.02,18,0.22,46.24,64.27,3.56,0.67,4.65,6.11,10.71,25.71,35.73,71.95,2.48,2.85,6.29,1.59,9.38,22.59,31.9,3.11,7.07,8.86,29.17,48.22,68.09,70.81,26.36,2.81,29.17,41.2,46.24,22.59,-23.65,18,9.38,-8.62,4.65,7.07,2.42,3.56,3.11,-0.45
1995 Q3,1.86,14.45,5.34,4.41,17.74,0.26,44.06,63.84,3.42,0.62,4.42,5.78,10.72,24.95,36.15,69.02,2.46,3.19,5.68,1.65,9.26,22.24,31.54,3.06,7.17,8.91,29.14,48.28,68.46,70.53,26.3,2.84,29.14,41.32,44.06,22.24,-21.82,17.74,9.26,-8.48,4.42,7.17,2.75,3.42,3.06,-0.36
1995 Q2,1.73,14.36,5.18,4.53,17.52,0.27,43.58,63.65,3.27,0.67,4.51,5.93,10.52,24.89,36.35,68.47,2.43,3.14,5.43,1.62,9.43,22.06,31.54,3.03,7.21,8.64,28.99,47.87,68.46,69.92,26.17,2.82,28.99,41.45,43.58,22.06,-21.52,17.52,9.43,-8.09,4.51,7.21,2.7,3.27,3.03,-0.24
1995 Q1,1.8,14.91,6.35,5.09,17.66,0.25,46.06,64.73,3.21,0.72,4.83,5.79,10.55,25.1,35.27,71.16,2.44,3.12,5.81,1.63,9.49,22.48,32.21,3.02,7.1,8.67,28.51,47.31,67.79,69.79,25.7,2.81,28.51,40.85,46.06,22.48,-23.58,17.66,9.49,-8.17,4.83,7.1,2.27,3.21,3.02,-0.19
1994 Q4,1.83,14.83,5.96,4.99,17.78,0.26,45.65,64.6,3.28,0.63,4.9,5.74,10.47,25.02,35.4,70.67,2.4,3.16,5.9,1.65,9.57,22.68,32.55,2.99,7.18,8.39,28.43,46.99,67.45,69.67,26.6,1.83,28.43,40.81,45.65,22.68,-22.97,17.78,9.57,-8.22,4.9,7.18,2.28,3.28,2.99,-0.29
1994 Q3,1.82,14.32,5.45,4.51,17.7,0.24,44.04,64.47,3.21,0.59,4.65,5.35,10.48,24.27,35.53,68.32,2.38,3.15,5.29,1.63,9.31,21.75,31.86,2.95,7.14,8.28,28.15,46.52,68.14,68.28,26.34,1.81,28.15,41.23,44.04,21.75,-22.29,17.7,9.31,-8.39,4.65,7.14,2.49,3.21,2.95,-0.26
1994 Q2,1.7,14.06,5.05,4.43,17.5,0.28,43.01,64.03,3.12,0.63,4.75,5.47,10.19,24.17,35.98,67.17,2.27,3.15,5.33,1.58,9.29,21.63,31.77,2.96,7.22,8.1,28.16,46.44,68.22,68.07,26.34,1.81,28.16,41.36,43.01,21.63,-21.38,17.5,9.29,-8.2,4.75,7.22,2.47,3.12,2.96,-0.16
1994 Q1,1.73,14.5,6.22,4.8,17.91,0.23,45.39,65.17,3.03,0.67,5.09,5.31,10.15,24.25,34.82,69.64,2.31,3.18,5.26,1.53,9.33,21.61,31.7,2.93,7.43,8.03,28.18,46.57,68.3,68.18,26.36,1.81,28.18,41.34,45.39,21.61,-23.78,17.91,9.33,-8.58,5.09,7.43,2.34,3.03,2.93,-0.1
